evidence_key,source_key,source_locator,literal_variety,canonical_dialect_candidate,evidence_type,tafsiri_summary,notation,verification_status,reviewer_decision,reviewer_notes
LE001_26B98A7BF40D626755C77041,WASIKE_2017_ADJECTIVES_LUBUKUSU,PDF p. 1,Lubukusu,Bukusu,LEXICAL_CATEGORY_ASSERTION,Lubukusu has a class of true adjectives that is distinct from nouns and verbs.,,UNVERIFIED,,
LE001_965993C235A68A7014A9BCB5,WASIKE_2017_ADJECTIVES_LUBUKUSU,PDF p. 3,Lubukusu,Bukusu,LEXICAL_CATEGORY_ASSERTION,The adjective inventory includes basic and derived adjectives used as nominal modifiers.,,UNVERIFIED,,
LE001_C96884B0E4BCEB6B99AF0245,WASIKE_2017_ADJECTIVES_LUBUKUSU,"PDF p. 3, footnote 2",Lubukusu,Bukusu,ALLOPHONIC_RULE,Orthographic b is realized as the voiced bilabial fricative [β] when it is not preceded by a nasal.,b; [β],UNVERIFIED,,
LE001_7516ACA55554B7B091DF4F15,WASIKE_2017_ADJECTIVES_LUBUKUSU,PDF p. 4,Lubukusu,Bukusu,DERIVATION_RULE,A productive verb-to-adjective derivation replaces the verb final vowel with -e.,,UNVERIFIED,,
LE001_B4025A6BC8EABB25BBADF698,WASIKE_2017_ADJECTIVES_LUBUKUSU,PDF p. 4,Lubukusu,Bukusu,MORPHOPHONOLOGICAL_RULE,Some adjective derivations from roots ending in a liquid or /x/ exhibit additional consonant and final-vowel alternations.,,UNVERIFIED,,
LE001_ABCB2C63153BCC387A919A04,WASIKE_2017_ADJECTIVES_LUBUKUSU,"PDF p. 4, footnote 4",Lubukusu,Bukusu,GRAPHEME_PHONEME_RULE,The Lubukusu digraph kh represents the velar fricative [x].,kh; /x/,UNVERIFIED,,
LE001_524FA34A0840CD97D329DF7F,WASIKE_2017_ADJECTIVES_LUBUKUSU,PDF p. 5,Lubukusu,Bukusu,DERIVATION_RULE,Adjective-to-verb derivation can be formed by adding the suffix -a.,,UNVERIFIED,,
LE001_2E0CDB2B2B7D13C20631B91E,WASIKE_2017_ADJECTIVES_LUBUKUSU,PDF p. 8,Lubukusu,Bukusu,MORPHOPHONOLOGICAL_RULE,"Surface adjective agreement forms reflect vowel coalescence, nasal place assimilation, and prefix haplology.",,UNVERIFIED,,
LE001_F4FBE4B8AA1C6AFF5050290C,WASIKE_2017_ADJECTIVES_LUBUKUSU,PDF pp. 13?14,Lubukusu,Bukusu,SEMANTIC_RULE,"Temporary or ongoing adjectival meanings are expressed with verbs, while individual-level or relatively permanent properties are expressed with adjectives.",,UNVERIFIED,,
LE001_0D4EF03C6F050473B8EAE121,WASIKE_2017_ADJECTIVES_LUBUKUSU,PDF pp. 7?8,Lubukusu,Bukusu,AGREEMENT_RULE,Attributive adjectives show noun-class agreement through class-prefix morphology matching the modified noun.,,UNVERIFIED,,
