sample_sequence,sample_group,dictionary_entry_id,word,word_normalized,english_definition,part_of_speech,noun_class,dialect,bucket,mapping_status,ambiguity_action,heuristic_confidence,proposed_concept_key,heuristic_flags,ambiguity_indicators,reason_codes,repeated_form_count,distinct_definition_count,same_definition_form_count,other_definitions_for_form,reviewer_decision,reviewer_concept_label,reviewer_definition,reviewer_notes,pipeline_bucket_correct,pipeline_ambiguity_correct
64,bucket_B,2f7081b3-26a7-4f51-86d3-9395dcf252af,eshimyu,eshimyu,"hot, dry time of year, roughly from the end of November to the middle of February",n.,,Luwanga,B,proposed,,0.7,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
65,bucket_B,ed6f98ce-84b1-437a-841e-b7d94b09b943,okhwifumba,okhwifumba,bend o.s.,v.refl.,,Luwanga,B,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
66,bucket_B,8b176ebc-138d-40bf-8184-f44ee3489975,okhurumbia,okhurumbia,"cause s.o. to refuse to eat because of a quarrel, annoyance, etc.",v.tr.,,Luwanga,B,proposed,,0.7,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
67,bucket_B,ceca8954-1e9d-410e-80b9-0eae3881376d,eshirindwa,eshirindwa,a grave after it has been filled in,n.,,Luwanga,B,proposed,,0.7,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""simple_definition"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
68,bucket_B,ffcae4d4-84e7-4454-8c18-68e220addc5f,"olakalukha lwangu, ko!","olakalukha lwangu, ko!",come back quickly!,excl.,,Luwanga,B,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
69,bucket_B,0e88a51f-477f-45a8-bb39-2e805896dab6,olufwafwa,olufwafwa,"grass, suitable for lawns",n.,,Luwanga,B,proposed,,0.7,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
70,bucket_B,d5df098a-9f95-4fa9-b328-297b0234f778,omwibo,omwibo,"ceremonial confinement of a woman who has just had a baby, three days for a girl, and four for a boy",n.,,Luwanga,B,proposed,,0.7,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
71,bucket_B,b06c2084-8849-40e2-9a95-8267b5fea6b7,okhulima amapwoni,okhulima amapwoni,dig up a field ready for planting,vp,,Luwanga,B,proposed,,0.7,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""simple_definition"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
72,bucket_B,6e826eda-ecd6-4c57-b0b3-4fee1734042d,imbamba,imbamba,"upper arm, near shoulder",n.,,Luwanga,B,proposed,,0.7,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
73,bucket_B,5ad41fcb-a2f2-4d76-bb48-167f71aa9245,omuboka,omuboka,young green grass and weeds springing up after burning off,n.,,Luwanga,B,proposed,,0.7,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""simple_definition"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
74,bucket_B,d91dca7a-300c-4fe5-902b-7512d10540cf,eshinwanwa,eshinwanwa,the chin of an animal,n.,,Luwanga,B,proposed,,0.7,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""simple_definition"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
75,bucket_B,12d9f96d-fd42-4f29-b00b-e534a923ab5d,ikhokoro,ikhokoro,scraper made from piece of gourd,n.,,Luwanga,B,proposed,,0.7,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""simple_definition"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
76,bucket_B,4a39be67-0c74-4d03-9315-62c961f97ea8,shinga olwa,shinga olwa,"as, how, how that, that",conj.,,Luwanga,B,proposed,,0.7,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
77,bucket_B,50161072-d056-4dba-8508-81153279fb8a,okhuchenda obubi,okhuchenda obubi,live an evil life,vp,,Luwanga,B,proposed,,0.7,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""simple_definition"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
78,bucket_B,6ec082bd-603e-4250-9e17-028167f0d7f1,eshiosio,eshiosio,fire lighted in courtyard for warmth,n.,,Luwanga,B,proposed,,0.7,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""simple_definition"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
79,bucket_B,a0e22376-7fef-448e-8ff6-dcea3daad00f,omurerere,omurerere,"slippery, deceitful person",n.,,Luwanga,B,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
80,bucket_B,07230f8e-1f59-4736-9b5e-de6161d96831,eshitundu,eshitundu,a short piece of hollow reed,n.,,Luwanga,B,proposed,,0.7,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""simple_definition"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
81,bucket_B,f2f7e80c-bbde-486f-b63a-4ab66a0f6fd9,okhupeya,okhupeya,"take cattle from the grazing grounds, in payment of a debt, etc.",v.tr.,,Luwanga,B,proposed,,0.7,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
82,bucket_B,6f9ef604-c3bf-48ea-8010-d7fdfc3c0bd7,okhwifubula,okhwifubula,try to avoid blame by putting it onto someone else,v.int.,,Luwanga,B,proposed,,0.7,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""simple_definition"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
83,bucket_B,ca38241f-6e5e-4b9c-9f12-3c0d6a6ec446,lihululwa,lihululwa,sp. of creeper used in making omunyu,n.,,Luwanga,B,proposed,,0.7,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
84,bucket_B,5891d3af-0b6f-494f-9ee6-74824087f684,isutse,isutse,sp. of fish,n.,,Luwanga,B,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
85,bucket_B,2ccb3d06-6840-44a9-b297-d8462e675982,okhwiyina,okhwiyina,"duck one’s head, particularly to avoid being seen",v.refl.,,Luwanga,B,proposed,,0.7,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
86,bucket_B,9b12edf3-8ff9-4a33-80ca-a868060077eb,ingore,ingore,a large bunch of bananas,n.,,Luwanga,B,proposed,,0.7,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""simple_definition"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
87,bucket_B,cf184058-8bc1-4b41-bc83-f0276fd4d3dd,ameyo,ameyo,"bunch of twigs, etc., used as a broom",n.,,Luwanga,B,proposed,,0.7,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
88,bucket_B,ffb05602-6961-41fa-9e89-0c06f26edecf,okhulabukha,okhulabukha,"become light after rain, at dawn",v.int.,,Luwanga,B,proposed,,0.7,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
89,bucket_B,f95d8612-866d-4a53-b87b-2b1cad8fe62e,okhumalakana,okhumalakana,"forge blindly ahead, regardless of obstacles",v.int.,,Luwanga,B,proposed,,0.7,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
90,bucket_B,03b2779a-3f02-476e-9f1a-dd0b13264365,okhubisiania,okhubisiania,meet and pass one another,v.int.,,Luwanga,B,proposed,,0.7,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""simple_definition"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
91,bucket_B,5b971516-6773-482c-8274-39cb88d1d5da,lisera,lisera,large basket for chickens,n.,,Luwanga,B,proposed,,0.7,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""simple_definition"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
92,bucket_B,559a7b31-af74-4cca-a13d-b0a705114f7f,eshiyunani,eshiyunani,in the Greek manner,n.,,Luwanga,B,proposed,,0.7,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""simple_definition"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
93,bucket_B,1f3fdff0-1a4b-4e2d-bbe1-a646a04e3566,oluluyia,oluluyia,the language of the Bantu people of North and Central Kavirondo,n.,,Luwanga,B,proposed,,0.7,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""simple_definition"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
94,bucket_B,ed7831a9-26bc-4a9e-b4f6-8f7cc273e43c,okhusosola,okhusosola,cut off branches of a tree,v.tr.,,Luwanga,B,proposed,,0.7,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""simple_definition"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
95,bucket_B,37411fc4-4fc5-4ae4-8a7b-664f5a358a98,awa!,awa!,"oh, no!",excl.,,Luwanga,B,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
96,bucket_B,95432aa1-acdd-4b2e-955b-7b9e9d7c6a3d,amanywa ke tsimboko,amanywa ke tsimboko,"2 a.m., 3 a.m. When buffaloes go to drink",n.,,Luwanga,B,proposed,,0.7,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
97,bucket_B,a9a8d93a-e501-47ae-aa57-f4d1139fb10e,likale,likale,"hollow reed, used by children to make musical pipes",n.,,Luwanga,B,proposed,,0.7,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
98,bucket_B,bba32b60-475e-4682-9072-8ff16c5e2860,okhukosania,okhukosania,refuse to listen to s.o. because one is intent on something else,v.tr.,,Luwanga,B,proposed,,0.7,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
99,bucket_B,175c0200-b741-446c-a7a7-978e39fb5902,amamira,amamira,mucus from the nose,n.,,Luwanga,B,proposed,,0.7,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""simple_definition"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
100,bucket_B,41c68845-e4cb-4d48-ab4c-98821edef945,omutsusu,omutsusu,bleeding from the nose,n.,,Luwanga,B,proposed,,0.7,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""simple_definition"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
101,bucket_C,bb57ffd6-2998-40d1-947e-7bb27a445617,okhulaya,okhulaya,"call by a special name, indicating some attribute; to praise, either for good or evil deeds",v.tr.,,Luwanga,C,needs_split,likely_split,0.45,,[],"[""semicolon_segments"", ""standalone_or""]","[""AMBIGUITY_SIGNAL"", ""SEMICOLON_SEGMENTS"", ""STANDALONE_OR""]",1,1,1,[],,,,,,
102,bucket_C,04635ef5-2c5f-48fa-8cb6-40c7b5410aea,bushere!,bushere!,morning greeting; 'good morning!',greet.,,Luwanga,C,needs_split,likely_split,0.45,,[],"[""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""SEMICOLON_SEGMENTS""]",1,1,1,[],,,,,,
103,bucket_C,26e9aded-f2b5-435e-8acb-c182a7b7f482,okhusasikha,okhusasikha,spoil; be spoilt; overflow,v.int.,,Luwanga,C,needs_split,likely_split,0.45,,[],"[""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""SEMICOLON_SEGMENTS""]",1,1,1,[],,,,,,
104,bucket_C,999d2634-100b-471c-aee8-9097e871af99,okhuhambana obwitsa,okhuhambana obwitsa,"become friends (e.g., of a boy making friends with a girl with a view to marriage before the brideprice has been paid)",vp,,Luwanga,C,needs_split,contextual_review,0.5,,"[""context_marker:e.g.""]","[""contextual_language""]","[""AMBIGUITY_SIGNAL"", ""CONTEXTUAL_LANGUAGE""]",1,1,1,[],,,,,,
105,bucket_C,a556396f-9fb5-43a7-948c-6b5e22fc8044,omukoye kwobukokhwe,omukoye kwobukokhwe,sisal or other fiber rope,np,,Luwanga,C,needs_split,likely_split,0.45,,[],"[""standalone_or""]","[""AMBIGUITY_SIGNAL"", ""STANDALONE_OR""]",1,1,1,[],,,,,,
106,bucket_C,aa479a88-e683-44dd-a117-d9b12948d468,okhwenya,okhwenya,"want; need; like; love; appear to be on the point of, e.g., yenya okhulwala ‘he looks as if he is going to be ill’",v.tr.,,Luwanga,C,needs_split,likely_split,0.25,,"[""context_marker:e.g.""]","[""contextual_language"", ""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""CONTEXTUAL_LANGUAGE"", ""SEMICOLON_SEGMENTS""]",1,1,1,[],,,,,,
107,bucket_C,24419151-976e-4ee3-995f-f2bbac3626e3,ikhololo,ikhololo,cough,n.,,Luwanga,C,needs_split,review_sense,0.3,,[],"[""incompatible_pos_reuse""]","[""AMBIGUITY_SIGNAL"", ""INCOMPATIBLE_POS_REUSE""]",1,1,2,[],,,,,,
108,bucket_C,03cd7fb8-841a-459a-b047-649468e70c9a,okhumulamula,okhumulamula,burn slowly (of fire); be weak (of eyes),v.int.,,Luwanga,C,needs_split,likely_split,0.25,,[],"[""contextual_language"", ""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""CONTEXTUAL_LANGUAGE"", ""SEMICOLON_SEGMENTS""]",1,1,1,[],,,,,,
109,bucket_C,f2617371-6dd4-43bf-bdf7-2e1a1abaec65,olwala,olwala,finger (see also olutere); olwala olusatsa 'thumb'; olwala lweliramwa 'a single banana',n.,,Luwanga,C,needs_split,likely_split,0.25,,"[""context_marker:see also""]","[""contextual_language"", ""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""CONTEXTUAL_LANGUAGE"", ""SEMICOLON_SEGMENTS""]",1,1,1,[],,,,,,
110,bucket_C,721cf47c-572c-441a-9e29-7f9d60fff2e5,okhuhachirisia,okhuhachirisia,"force (s.t. into a small space, through a small opening; s.o. to do something against his will)",v.tr.,,Luwanga,C,needs_split,likely_split,0.25,,[],"[""contextual_language"", ""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""CONTEXTUAL_LANGUAGE"", ""SEMICOLON_SEGMENTS""]",1,1,1,[],,,,,,
111,bucket_C,5f68c811-fa76-496b-a02f-6939357ec7d7,okhunyiririsia,okhunyiririsia,"flavor, adorn, etc., with great care",v.tr.,,Luwanga,C,needs_split,polysemy,0.15,,[],"[""repeated_form_multiple_definitions""]","[""AMBIGUITY_SIGNAL"", ""REPEATED_FORM_MULTIPLE_DEFINITIONS""]",2,2,1,"[""cool""]",,,,,,
112,bucket_C,5e26f816-8644-4593-a614-d869a5d36350,eshisonye,eshisonye,a part; a portion; a piece,n.,,Luwanga,C,needs_split,likely_split,0.45,,[],"[""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""SEMICOLON_SEGMENTS""]",1,1,1,[],,,,,,
113,bucket_C,16ece5f2-3a5c-461f-b4b2-92707faefd3e,okhuulira buuliri,okhuulira buuliri,simply to hear; know by hearsay,vp,,Luwanga,C,needs_split,likely_split,0.45,,[],"[""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""SEMICOLON_SEGMENTS""]",1,1,1,[],,,,,,
114,bucket_C,50a9f6ff-117b-4847-84cd-37d7965e8048,okhusena obukhana,okhusena obukhana,play the organ or harmonium (a reference to the pedals),vp,,Luwanga,C,needs_split,likely_split,0.25,,[],"[""contextual_language"", ""standalone_or""]","[""AMBIGUITY_SIGNAL"", ""CONTEXTUAL_LANGUAGE"", ""STANDALONE_OR""]",1,1,1,[],,,,,,
115,bucket_C,deef89fb-6154-4231-9bae-d634b65d43dc,okhwitsa nende,okhwitsa nende,"come with; bring; nitwitsa mukamba, itsa nende imbako 'when you come tomorrow, bring your hoe'",vp,,Luwanga,C,needs_split,likely_split,0.45,,[],"[""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""SEMICOLON_SEGMENTS""]",1,1,1,[],,,,,,
116,bucket_C,f44033b2-7341-41ec-a724-6dc75ba0cc88,okhutematemia,okhutematemia,try; attempt; test; tempt,v.int./tr.,,Luwanga,C,needs_split,polysemy,0.0,,[],"[""compound_part_of_speech"", ""repeated_form_multiple_definitions"", ""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""COMPOUND_PART_OF_SPEECH"", ""REPEATED_FORM_MULTIPLE_DEFINITIONS"", ""SEMICOLON_SEGMENTS""]",2,2,1,"[""blink repeatedly""]",,,,,,
117,bucket_C,6cc9e687-78b7-495b-a540-8139dd94a20e,okhwiliang'aliang'ania,okhwiliang'aliang'ania,"talk to oneself; talk nonsense, or boastingly, when others don’t want to listen; exaggerate",v.refl.,,Luwanga,C,needs_split,likely_split,0.45,,[],"[""semicolon_segments"", ""standalone_or""]","[""AMBIGUITY_SIGNAL"", ""SEMICOLON_SEGMENTS"", ""STANDALONE_OR""]",1,1,1,[],,,,,,
118,bucket_C,747c857d-807a-432e-b0df-22f3dc9eb260,okhwimba,okhwimba,sing,v.int./tr.,,Luwanga,C,needs_split,review_sense,0.6,,[],"[""compound_part_of_speech""]","[""AMBIGUITY_SIGNAL"", ""COMPOUND_PART_OF_SPEECH""]",1,1,1,[],,,,,,
119,bucket_C,68c5b8fa-1d48-4fa1-8e1d-f7cf5f7d323c,-angu,-angu,"quick, easy, light, cheap (bwangu, lwangu)",adj.,,Luwanga,C,needs_split,contextual_review,0.5,,[],"[""contextual_language""]","[""AMBIGUITY_SIGNAL"", ""CONTEXTUAL_LANGUAGE""]",1,1,1,[],,,,,,
120,bucket_C,93655ee1-692c-4b16-91c0-96dd5d06a19e,okhusundusia,okhusundusia,startle; frighten; take by surprise,v.tr.,,Luwanga,C,needs_split,likely_split,0.45,,[],"[""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""SEMICOLON_SEGMENTS""]",1,1,1,[],,,,,,
121,bucket_C,e048d08f-41c8-40be-b0aa-26201f6ad032,okhwikhuuna,okhwikhuuna,amazement; fear; wonder,n.,,Luwanga,C,needs_split,likely_split,0.45,,[],"[""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""SEMICOLON_SEGMENTS""]",1,1,1,[],,,,,,
122,bucket_C,c72d0555-5caf-41b3-96a4-c0e5c3ff8a88,amatuma kaakare,amatuma kaakare,"used of maize when the cobs have begun to fill out and stand out at an angle from the stalk, like a child carried on the hip",np,,Luwanga,C,needs_split,contextual_review,0.5,,[],"[""long_commentary_definition""]","[""AMBIGUITY_SIGNAL"", ""LONG_COMMENTARY_DEFINITION""]",1,1,1,[],,,,,,
123,bucket_C,d6c66fab-6c7d-4721-8654-7800abcb1aa5,okhufindikha,okhufindikha,be cramped; be overcrowded; be busy,v.int.,,Luwanga,C,needs_split,likely_split,0.45,,[],"[""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""SEMICOLON_SEGMENTS""]",1,1,1,[],,,,,,
124,bucket_C,4186875f-4cdb-4783-84de-81c55dfc9505,olindwekhwo,olindwekhwo,'goodbye'; lit. 'may you be kept',greet.,,Luwanga,C,needs_split,likely_split,0.25,,"[""context_marker:lit.""]","[""contextual_language"", ""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""CONTEXTUAL_LANGUAGE"", ""SEMICOLON_SEGMENTS""]",1,1,1,[],,,,,,
125,bucket_C,a4c5f4c3-171a-4f66-a655-e50952fb2ba1,okhutaya omwesi,okhutaya omwesi,"menstruate (see also okhuswamira, okhwitukha isyongo)",vp,,Luwanga,C,needs_split,contextual_review,0.5,,"[""context_marker:see also""]","[""contextual_language""]","[""AMBIGUITY_SIGNAL"", ""CONTEXTUAL_LANGUAGE""]",1,1,1,[],,,,,,
126,bucket_C,7930a448-5f04-4e5e-a64c-f64be6f71ea0,okhuyenga,okhuyenga,look; look at,v.int./tr.,,Luwanga,C,needs_split,polysemy,0.0,,[],"[""compound_part_of_speech"", ""repeated_form_multiple_definitions"", ""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""COMPOUND_PART_OF_SPEECH"", ""REPEATED_FORM_MULTIPLE_DEFINITIONS"", ""SEMICOLON_SEGMENTS""]",2,2,1,"[""brew beer""]",,,,,,
127,bucket_C,dd65d5c1-3d4f-47c7-b453-f5587349b1ce,omukhalabani,omukhalabani,worker; servant; minister of the church,n.,,Luwanga,C,needs_split,likely_split,0.45,,[],"[""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""SEMICOLON_SEGMENTS""]",1,1,1,[],,,,,,
128,bucket_C,c6a2bf2c-6795-4e74-bffd-60c0f852bd5d,okhurera ameno,okhurera ameno,slip; slide; skid,vp,,Luwanga,C,needs_split,likely_split,0.45,,[],"[""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""SEMICOLON_SEGMENTS""]",1,1,1,[],,,,,,
129,bucket_C,dca78cea-2835-47ce-bf3e-99217d259316,obulamu,obulamu,life; health,n.,,Luwanga,C,needs_split,likely_split,0.45,,[],"[""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""SEMICOLON_SEGMENTS""]",1,1,1,[],,,,,,
130,bucket_C,cd1dfec8-c4f8-4724-bb11-ad3cb0453a83,okhuchenula,okhuchenula,clean; refine,v.tr.,,Luwanga,C,needs_split,polysemy,0.0,,[],"[""repeated_form_multiple_definitions"", ""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""REPEATED_FORM_MULTIPLE_DEFINITIONS"", ""SEMICOLON_SEGMENTS""]",2,2,1,"[""break up cold obusuma left over from previous meal into the water being boiled for a new batch""]",,,,,,
131,bucket_C,1fbae1e1-b48d-4031-96cc-8cdd9b1804cd,okhusaala,okhusaala,pray; beg,v.int./tr.,,Luwanga,C,needs_split,polysemy,0.0,,[],"[""compound_part_of_speech"", ""repeated_form_multiple_definitions"", ""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""COMPOUND_PART_OF_SPEECH"", ""REPEATED_FORM_MULTIPLE_DEFINITIONS"", ""SEMICOLON_SEGMENTS""]",2,2,1,"[""give forth a ringing sound; jingle""]",,,,,,
132,bucket_C,051375d7-b16a-4993-a04a-84edfc007fca,okhukunula,okhukunula,uncover; unveil; take off the lid; undress,v.tr.,,Luwanga,C,needs_split,likely_split,0.45,,[],"[""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""SEMICOLON_SEGMENTS""]",1,1,1,[],,,,,,
133,bucket_C,99b35618-98c5-479d-9612-f4648ed94c16,okhwiranya,okhwiranya,"work iron in a forge; make of iron, etc.",v.tr.,,Luwanga,C,needs_split,likely_split,0.45,,[],"[""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""SEMICOLON_SEGMENTS""]",1,1,1,[],,,,,,
134,bucket_C,0a0d8157-13f7-4de7-a214-76bd9af3c525,liyenge,liyenge,pond; pool; stagnant water,n.,,Luwanga,C,needs_split,likely_split,0.45,,[],"[""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""SEMICOLON_SEGMENTS""]",1,1,1,[],,,,,,
